,name,content,reconmended,posted
330,Sorahawk,"
Masterpiece",Recommended," May 30, 2019"
331,Werglia,"
Its okay",Recommended, April 7
332,Rap Kujo,"
Was never really interested in the series, but this turned out to be a surprise hit on my list!
A horror game done right, it gets your heart pumping and adrenaline running, yet isn't just a bunch of cheap scares.

Even though the content and storyline originates from the 1998 RE2, this is so polished and refined that it simply plays like a new game of 2019. Having been my first RE, it was indeed new to me either way!

Apart from the beefy content of the main game, with its bonus modes and unlockables, brand new DLC was also released for free. Ghost Survivors is a roguelike-style expansion with 3 new playable characters, and an additional one unlockable after completing the first 3 campaigns. With new scenarios, enemies and weapons, each run is randomized, quick and intense to keep things even fresher.",Recommended," April 9, 2019"
333,Osama,"
Here is the full review of Resident evil 2. Game of the month for sure.
YouTube™ Video: RESIDENT EVIL 2 (2019) BIOHAZARD - My Fair Review - Not my GOTY 
Views: 433
RESIDENT EVIL 2 - REVIEW 2019 Resident Evil 2 is a survival horror game developed and published by Capcom. It is a remake of the 1998 game Resident Evil 2.",Recommended," February 2, 2019"
334,OrgnGr1nd3r,"
THIS IS WHAT I CALL A REMAKE",Recommended," January 25, 2019"
335,plänt,"
- Nice graphics
- Amazing audio
- Decent gameplay

Overall really nice game 100% recommended.",Recommended," December 19, 2019"
336,Serenina,"
This is Old school gaming at its finest, they usually dont make games like this anymore. This game is almost perfect fusion of modern and old school gaming elements. OTS camera combined with map design which players by the end remembers like his own house layout. Add to that a terminator chasing you all around your house and you remebering every hiding corner and shortcut to avoid him. Getting shivers down your spine you hear his footsteps. Not coming out of your room. Running like a madmen for your life as he is chasing and taking wrong turns and getting overwhelmed, opening your map and making new strategy and chalking out new route to reach your objective. And you have more threats along the way. But you outsmart them all because you learnt the map and remember what awaits where and escape except the terminator, he comes randomly and thinking while on the run raises the stakes. Fire bullets on zombies he listens, walk slowly because lickers will hear you, pounce on you. And also focus the footsteps of the ♥♥♥♥in terminator. This is insane stuff.

Combined with amazing atmosphere where the flashlight is your friend to explore all those dark rooms, corridors and sewers. Next level gore, sound effects, graphics and tight pacing. The story runs in high gear all the time and you keep on wanting more. Great mix of real life puzzles, exploration, inventory management, just enough ammo, action and boss fgihts. This is RESIDENT EVIL 2.

Best remake ever and one of the best survival horror games of all time.",Recommended," January 30, 2019"
337,BD'S | Ghost_Snake,"
Best game 2019 change my mind",Recommended," July 30, 2019"
338,Jakos,"
Incredible game with stunning graphics and a lot of mindwrecking puzzles~",Recommended," November 27, 2019"
339,` Mario ..,"
I used to be afraid of this game when i was a kid, but now i just can't stop playing it, thanks capcom",Recommended," June 29, 2019"
340,mewy,"
Too much rain.

-IGN",Recommended," January 26, 2019"
341,GrandFatherHermit,"
لعبة جيده لكن نصيحـــــــه "" ما تستاهل السعر المبالغ فيه للعبة ريميــــــــك "" ف انتظر لين ترخص واشترها """,Recommended," February 1, 2019"
342,Average Tekken Player xD,"
Ok but young Leon be lookin kinda fresh doe 😳",Recommended," September 5, 2019"
343,mtsupreme,"
Aaaaaaaah, what are you buying?

*Buys Resident Evil 2 ""

Aaah an awesome choice stranger!",Recommended," January 28, 2019"
344,Joybz,"
Perfect blend of classic horror remade with modern graphics and control.

I may be wishful thinking but please also remake RE3

Capcom is back!",Recommended," January 26, 2019"
345,Zombie Cat,"
Acting could have been less cheesy, but overall one of the best horror games I've played.",Recommended, May 26
346,MyJoJob,"
Brilliant take on the original RE2!
Really well made and enough differences to keep a veteran of the old RE2 entertained.
Keeps you on the edge the entire time, hardcore mode especially!",Recommended," June 18, 2019"
347,MEzZ,"
would ♥♥♥♥ my pants over mr x's footsteps again. 9/10.

After multiple playthroughs of this game, i can whole heartedly recommend it. The graphics, the game play and the music and atmosphere is wonderful.

Cannot wait to see resident evil 3 : nemesis soon remade with the re engine.",Recommended," January 25, 2019"
348,gonzzCABJ,"
Product received for free

Absolutely redefines what makes a good remake. Fantastic visuals that gives off a perfect atmosphere. Fantastic audio cues that gives a good sense of direction and space for when something is either in another room or right next to you. Tight controls, but just clunky enough to make you not feel invincible (perfect for a survival horror).

Unfortunately, the game gets very tedious after 2 campaigns. I assume due to budget and time constraints, the Zapping System isn't much and makes Leon A and Leon B basically the same experience except for the beginning. What's worse is that just doing Claire A and Leon B or Leon A and Claire B still creates a very contradictory story line that doesn't make sense if you think about it.

Performance-wise, I couldn't ask for much more. The graphical options like noise filter toggling, chromatic aberration settings, different rendering options, etc etc makes this game run surprisingly well for me very low end laptop.

All in all, I HIGHLY recommend this game if you want a good return to true Survival Horror form",Recommended," February 12, 2019"
349,AMZ,"
Introduction
Before starting this review, i would like to say that i don't have any nostalgic connection to Resident Evil 2 since i never played it when it originally came out.

Resident Evil 2 (2019) is the remake to the original game from 1998. Though calling this game a simple ""Remake"" would be a disservice as RE2 (2019) is pretty much a whole new game, this makes that they're different enough and so you can still play the original. The only things that are from the original is the plot, setting, and characters, everything else is different.

The game is now a third-person shooter (for better or worse, personally i like the change in the perspective), the layout of the police station and the game as a whole is similiar but vastly changed, the story and characters are more fleshed out than in the original, certain events play out differently than in the original and this makes veteran players to stay on their toes, and i could go on and on but it would take too long.

Before you play this game, i highly suggest you to play the Resident Evil 1 Remake, while the gameplay is vastly different from this game, playing it would give you an idea of what a Resident Evil is and what it should be. Plus, it's pretty important to the story for this game and it's definitely one of the best games of all time.



Resident Evil 2 takes place a few months after the first game. After a recent zombie breakout in Racoon City, you need to find out what the hell's going on as you explore the police station and beyond. You can play as one of two characters when you start the game. The first one is Leon S. Kennedy, a rookie cop on his first day of the job. And the other one is Claire Redfield, a college student who is looking for his brother Chris Redfield who is one of the playable characters in the first game. Unlike the first game, each of the characters have a totally different story and subplots. As Leon, you'll encounter Ada Wong. While as Claire, you'll encounter Sherry. As i said it's kinda hard to not spoil this game so you might as well play the game and see for yourself. Overall, it's a well written story with likeable characters though i wish leon's campaign had a bit more too it.


While this game is third-person, it's still Resident Evil through and through. Resident Evil 2 is a Survival-Horror game much like it's predecessors. Basically, Survival-Horror is a sub-genre of horror that focuses and puts emphasis on Inventory Management, Puzzle Solving, having a Vulnerable playable character, a somewhat Slow-Paced Combat, and of course backtracking (it may not be in every survival-horror game but it's a huge part of the Resident Evil Series).


This game probably has some of the best atmosphere ever in a horror game. It's dark, scary, and has some of the best audio design ever.


Having a limited inventory space means you can't pick up everything you see, if your inventory is full and you need to pick up an item, you either need to discard one of your items or backtrack to the last save room so you can store some of your items. This becomes a game in itself as you find out what's best to bring, what to store, and what to discard.


Speaking of backtracking, you will be doing it ALOT and trust me it's not as annoying as everybody says, hell i think it's actually done pretty great (just like the old RE games). You need to memorize what room you need to get to and what key you need, if you don't memorize things so well, don't be worried as RE2 probably has the best and most friendly Map Interface in the whole series, rooms you haven't fully explored will be colored red, items you haven't picked up will have a logo, and puzzles you haven't solved will have an exclamation mark.


Movement is very similiar to RE7 only in a Third-Person Perspective, it's kinda slow compared to other games but you still move faster than most of the enemies. Slow doesn't mean it's bad though, more like the opposite, if it was faster it would ruin the game's overall tone and atmosphere so yea i really like it. The game controls really well with mouse and keyboard and you can keybind pretty much every key, my only complaint is that you cant use your mouse in alot of the puzzles though it's probably more of a nitpick since i got used to it pretty quick.


Just like the movement, combat is slow-paced but it's till fun because it has some split second choices and strategy. For example, you need to get to another room but there are a couple of zombies blocking the way, you can kill them and you'll lose some of your ammo but if you backtrack to that room again you wont have to deal with them again, Or you can lead them out of your way and escape but once you go back to that room you will encounter them again. There are alot more examples than this but in a nutshell, that's pretty much it.

My only complaint with the combat is that killing zombies have some RNG and boy oh boy it's really annoying. Basically because of the game's adaptive difficulty, zombies can take up to 10-20 shots to the head if you rarely die, but at the same time, some of them only take up to 2-5 shots to the head, hopefully they fix this in the future as it might turn new players away. While yes the old games have some really long time to kill as well, it never felt this annoying.


Of couse i can't talk about the game without talking about the enemies and one particular big dude that you'll encounter while playing. First, you have your regular zombies which are surprisingly scary. They might not be that intimidating if you encounter only one of them, but they sure can be a hassle if there's alot of them, they can take alot of damage but they move incredibly slow so my suggestion is to avoid them almost all the time if you can so you don't waste your ammo. Second, one of the most iconic enemies ever introduced in the series, The Lickers. They're basically mutated and more powerful zombies and way scarier, encountering one of them is scary enough and you'll be fu*ked if you meet more than one. There are a few more enemy types but i wont spoil them.

I would like to talk about one more though and that is..... Mister Motherfu*kin X. Some people said that he ruins the game but i beg to differ. He's probably my favorite thing about this game as he makes you to keep your guard up. I won't spoil where or when you encounter him, so just prepare to be fu*ked.


Audio design is really great, zombies and lickers sound scary and Mr. X's footsteps sounds terrifying as fu*k. Music on the other hand is a bit hit or miss, this is my personal opinion so yours might be different but IMO the soundtrack is just too subtle. I think it's because they want the game to be more scary with it's fantastic audio design but with less and more subtle music. But after recently completing the RE1 remake, the game can still prove itself to be really scary with more noticable music. Even the save room theme isn't that memorable in this game because i can barely hear it. The best music is probably the Mr. X theme which can be really intimidating when you hear it. This is why i think it's kinda bullsh*t that you have to pay for the original soundtrack because i really prefer it over the new one and like i said before, i don't even have any nostalgic connection with this game.


Overall this game is certainly one of the best games to come out this year but there are certainly a few problems that hold it back from being a true masterpiece. I'm glad that capcom is finally bringing Classic Survival-Horror back to the mainstream market and i'm really excited for the future of this series.",Recommended," January 26, 2019"
350,THANOS,"
You once again stepped into the world of survival horror.

Good luck...",Recommended," January 25, 2019"
351,Dirk Dickbutt,"
old is gold
10/10",Recommended," January 25, 2019"
352,Ark-Angel,"
All the reviews are true.

Buy It.",Recommended," February 5, 2019"
353,Shini,"
Product received for free

Oh no, zombies.

Resident Evil 2 is a remake of Resident Evil 2. You play as Leon Scott Kennedy, a very special boy who still tries to arrest people as the city around him is turning into dust.
Or you play as Claire Redfield, the sister of boulder punching giga hunk Chris Redfield. She's looking for her brother because its 1998 and cell phones haven't been invented by John Henry Cellphone yet.
Both stories follow Leon and Claire as they attempt to escape Raccoon City while also uncovering the secrets that Umbrella has hidden.
Like larger blister monsters. Or unstoppable super weapons that think its okay to wear a fedora.

Resident Evil 2 retells the story of Resident Evil 2 while stepping away from some story beats of Resident Evil 2. Leon and Clair don't even really look like how they looked in Resident Evil 2, since technology has come a long way since 1280 AD and now we have things like motion capture and actors.

With the liberties Resident Evil 2 takes with Resident Evil 2's story, I started looking at it like a movie based on the events instead of a complete retelling of Resident Evil 2.

Okay, I'll stop now.

Biohazard 2 is one of those games that I loaded up, started my first playthrough, and then didn't close it until I finished my first playthrough. Something about the gameflow just kept me glued to the game from start to finish. It wasn't the story, since I'm old and already know how it ends. But it has more to do that the game is just kind of made for me.

You see from over your character's shoulder, and not from the view of a bug in the corner of the room like the original RE2. I actually liked tank controls from the original, but I also like pulling hair out of my nose, so take that as you will.

Exploring a destroyed police department made by the greatest madman known to humanity, while poking your flashlight over dark corners and committing police brutality on the undead is just kind of tickled me in the naughty bits. There's a flow to the gameplay that I can get behind, where you just kind of know where to go. I didn't even notice the location markers on my map until I was almost done my first play through.

Enemies this time around are much tougher than they were in previous games, with the zambos being able to sometimes take entire magazines to the noggin with only having stern words to say to you later.
The stern words are biting.

You come across other enemies in the game, lickers make a return, as well as Conrad: The Hungry Alligator. There are also some enemies missing, like the giant spider. I was told that people were having panic attacks and running out of the room during play testing. I don't know how true that is, but I'm going to believe it.
Because its funny.

Urban Terror 2 also brings back T-00, an enemy that only shows up in some runs of the original game. Only instead of showing up as a boss encounter of sorts, now he follows you around and gives me the same mental experience as being chased by teenagers or my drunken father.

He's not as annoying as I thought he would be, since you can avoid him completely if you know what you're doing.

What else do I like?

I like how the guns feel, it's nice to shoot things in this game. Please don't tell my parole officer I said that.

Everything has a nice, meaty crunch to it when you shoot them, zombie limbs and brain domes fall apart under gun fire, and sometimes their heads just kind of rupture after one hit. It feels nice to shoot things. Which says more about me than it does about the game.

You should play Resident Evil: The Second. I'm glad I got to play it before the year is out, since I had my eyes on it since its release and I never actually got around to buying the game.
You get a few run throughs of the game, with two stories per character. You also get some extra content with the game, letting you play as two other characters as well as the return of everyone's main man: HUNK.
I love him.

Special thanks again to Evan for sending me this game, please stop speaking Latin and dabbling in the occult.

Resident Evil 2 gets a gun out of a dead zombie.

Merry Christmas, everybody!",Recommended," December 25, 2019"
354,-Le0n-,"
Best Resident Evil",Recommended," January 25, 2019"
355,RPDevJesco,"
Amazing remake, lots of content and further free DLC for a game in 2019 is insane.",Recommended," February 1, 2019"
356,Hitchet,"
By far the best Resident evil Game after Resident Evil 4, and best remake. This game brings that survival horror back with our fav characters. Graphics r soo good that even if u play on low settings it will look awesome. great thing is they removed QTE from game. but only downside for me is A n B r kinda same. Claire n Leon both in police station but never come across eachother or the puzzles leon solved will be there to solve again in Claire's. And yea Clair's LIPS.... bad job....",Recommended," February 9, 2019"
357,"""TROJAN","
This game has accomplished what the original did and then expanded upon it with current generation gaming expectations. I've played it for almost an hour so far and will be playing it way more. Now they just need to make RE3 and Dino Crisis remake, that would make my finest memories as a kid playing Capcom games complete as an adult.

Now if Square Enix would follow in Capcom's footsteps and not take a decade to complete it.",Recommended," January 25, 2019"
358,Robbaz,"
Secret character Tofu is back at it again!
1. Complete storyline for Leon.
2. Unlock second run mode and complete storyline for Clair.
3. Unlock true ending and new storyline 4th Survivor, complete that storyline as Hunk.
4. Unlock Tofu survivor, coolest easter egg of original Resident Evil 2.
Now you can play as a Tofu!

Overall, incredible amount of effort put into details, animations, cutscenes - literally everything. Mechanics feels right, sound is sharp and visually looks absolutely stunning. No doubt it's going to be a main pretendent for .

P.S. I'm so proud that I had a chance to work with amazing , who now is a face of Claire Redfield. For those who is curious here is a photo I took of her during fashion show: (she is number 5 in this collection)",Recommended," January 25, 2019"
359,Johnny Bravo,"
من الواضح ان لعبة (الشر المقيم) بالنسبة لي من أفضل العاب الرعب اللي لعبتها. اللعبة حافظت على جذورها لكن مع بعض التعديلات للجيل الجديد كتغير لون الخريطه من الاحمر الى الازرق اذا خلصت كل شيء موجود فيها او مثلا كوجود علامه على الادوات اللي ما راح تحتاجها أبدا. اللعبه لها اربع مسارات تقدر تقول انها مشابهه لبعض لكن مع الاختلافات البسيطه في الالغاز والأماكن, وبغض النظر عن اختلاف زاوية الكاميرا والجرافيكس بينها وبين النسخة الأصلية , راح تلاحظ ان الاعداء اماكنهم مختلفه عن العادة وسيناريو الشخصيات اللي تقابلهم مختلف بعد. مستر اكس مازال مرعب وصوت خطواته تزيدك توتر, التمثيل الصوتي رهيب وموسيقى الريميك جميله كجمال الموسيقى الاصليه. تمنيت بعض الأمور تكون موجوده في اللعبه كلحظات الكو آب كما في السابق بين آيدا وليون أو وجود العناكب كأعداء بدل فايروس ج الموجود في المجاري خاصة مع تطور المحرك, وكما تمنيت أيضا أن يكون هناك تعليق ولو بسيط بأنك ما تقدر توصل لمفتاح الهاص (القلب) بالنسبه لليون ومفتاح الشيريا (الأخضر) بالنسبه لكلير. اللعبه تم ترجمتها للعربيه من احد المواقع لكن يعيب الترجمه أنك في حال رجعت الى اللغه الانجليزيه راح تشوف أن قائمة الحفظ عندك اصبحت رموز لأنها كانت محفوظة بالعربي, فراح تضطر أنك تحفظ اللعبه مره ثانية مما يأثر على تقييمك اذا ختمت اللعبه. أما بالنسبه للكوليكترز داخل اللعبه اتوقع إن أماكنها موزونه وتقدر تميزها بالصوت ماهو مثل باقي الالعاب اللي يجعل تجميعها جحيم لك مثل قود اوف وور والنسور الخضر. جدير بالذكر أن اقوى الاسلحه سكين, ونقطة ضعف الزومبي الأرجل. عموما اللعبة رهيبه ومتطلع جدا لريميك الجزء الثالث

RE2 is the best horror survival game. The game looks new and feels great, but bear in mind that the encounters with characters happened in different scenarios. Mr. X scares me every time I hear His foot steps going around me. The voice acting is great and﻿ I love the new tracks as much as the old one. I wish the spiders were in the game but they replaced them with G-Virus at sewers. I wished also the co-op moment was there between Ada and Leon. For the sake of Mr Raccoon achievement I think it is easy to find them without making you suffer like other games, for example God of War and Eyes of Odin. It is worth mentioning that the best weapon is a knife and legs are the weakest spot in zombies. looking forward for the RE 3 remake and the weird smile.

""If you see one of those things—uniform or not—you do not hesitate. You take it out...or you run. Got it!?"" - Marvin Branagh, Resident Evil 2",Recommended," March 5, 2019"
360,bgcentrs (FunFaceTV),"
Cheesiest ♥♥♥♥ing game i ever played on Hardcore.",Recommended," January 26, 2019"
361,kposkitt,"
спасибо очень вкусно",Recommended," December 15, 2019"
362,𝙨𝙖𝙥𝙥𝙝,"
Best resident evil game ever made to this day. AND BUY DELUXE EDITION TO PLAY ORIGINAL RE2 MUSIC IN GAME! Believe me!",Recommended," February 25, 2019"
363,Blitzy,"
Love this game. I would even go as far as to say its better than the original. Replay is awesome and never gets boring either.",Recommended," December 1, 2019"
364,Kaos Wulf,"
Product received for free

If you like a fun easy child friendly game then this is for you",Recommended," January 26, 2019"
365,QueenSarcasta,"
4 years ago I said that if I threw money at the screen maybe the RE2 remake would happen, and well what do ya know, it's finally here!

This game it really fantastic and well worth the wait. It's different from the original in some ways, but it certainly pays homage and expands upon the 21 year old original.

It looks gorgeous and the performance is well optimised. It's certainly not for the faint of heart as it is quite a scary romp.

In conclusion, it's definitely worth full asking price and you should certainly pick it up

9/10",Recommended," January 25, 2019"
366,Hatsune Miku,"
Near flawless remake of a timeless classic. Worth every penny I paid, and I definitely sunk a lot of hours into it already at the time of this review.

If there's one thing I can highlight out of my survival horror experience, it's got to be the enemy encounters. Capcom more than delivers from the start with the zombies alone, as they are finally made scary again with how resilient they are to damage. I don't even need to mention Mr. X, since all the memes surrounding him speak for themselves; he's truly a menace. I am sad however, that a few iconic enemies were cut from the game. These being the spiders in the sewers, the crows in the 2nd floor, and the giant moth in the lab. Fortunately for me, they left in the disgusting roaches! Now I'll never forget which storage compartment not to open in the morgue.

Anyway...

For this to be a fair review, I do have my own personal gripes about the game.
The B scenarios for instance, were a bit disappointing. Other than your starting location, an additional gun unique to the character, and some changes in item placement, there was nothing different about how everything played out. It honestly feels more like it was tacked on at a later stage in development, while the focus was mainly on the 1st run of each character's story. The only reason to even play the 2nd run is to see how it really ends.

All in all, I very much enjoyed the game, and know that Capcom will see their success here as a reason to give Resident Evil 3: Nemesis the remake it deserves!",Recommended," February 16, 2019"
367,GrizzlyOne95,"
I really love the graphics on this game they where absolutely stunning. I didn't have any lag and only experience a minor drop in frame rate while streaming which was an easy fix on my end. I enjoyed the puzzles and enjoyed the terror that the monsters brought. I finished playing all of Leon story about a third of the way through Claire's. I really enjoyed the game as for never playing the original game I cannot compare the remaster to the original but regardless it was a great game. I did find the ending lacking but other wise it was amazing.",Recommended," February 18, 2019"
368,BLACKOUT,"
Completed it 7 times, Leon and Claire Separately, Installed mods, and repeated.

Never get bored of it, If you want a challenge, and after a challenge you want to turn a horror survival to a Micheal Bay Movie, This is your game.

P.D.: The ""Turn to Micheal Bay Movie"" Is not simple to get! Follow a guide, that's my tip!",Recommended," March 10, 2019"
369,P_Hat,"
Amazing. I've only played RE7 and RE4 just recently, and this game is just plain awesome. Shows how Capcom have made a modern PC wonder while still satisfying old fans.

Gorgeous and incredibly well made game, with loads of graphics options. Very anxiety inducing gameplay...i love that. Starting off 2019 with this true single player survival horror experience with basically everything done right will be (sadly) hard to top.

Oh, and no micro transactions that affect gameplay :)",Recommended," January 28, 2019"
370,Brennivin,"
I've been playing Resident Evil since its first released on PlayStation. There I've played and finished Resident Evil 1, 2 and 3, I can remember unlocking every possible ending (yes even the bad ones) / secrets.
Come Resident Evil 4, 5 and 6. Never finish 4 and 6, and finished 5 because of one day got stuck on my nephew's and we finished it together. While I do enjoy the game, I'm just not very into it.

Ever since July 2018 when I first watched the reveal trailer on youtube it has been on my wishlist.
Resident Evil 2 Remake got everything right, the tension, the scarcity of ammo and health, the Zombies durability, the way Lickers move and react, and even the unpredictable Mr. X. It's perfect and I just love it all.
There's even secrets and unlockables, and it's not on DLC or some sh*t, its really unlocking things such as new infinite weapons or costumes and even new game modes if you finished the game a certain way.

Few nitpick of mine is that the original soundtrack is locked under DLC, also some section *WARNING SPOILER* also *Spoiler ends*

But like I said, it's just my nitpick, other than that, it's perfect. I recommend this awesome game and I thank you Capcom to make this happen.

Is it too fast to ask for Resident Evil 3: Nemesis the Remake?",Recommended," February 5, 2019"
371,Griffith⛧,"
Was worth the wait.",Recommended," February 4, 2019"
372,🅱🅴🅷🅴🅻🅸🆃 ⚔,"
A fantastic reimagining of a great game. If you have any interest in the Resident Evil series this game will not disappoint you in the least. Just buy it.",Recommended," February 2, 2019"
373,[21st] NC(A) Pvt.Jason,"
""Hope I don't have to write a report on this!""

O que é Resident Evil 2 Remake?

Resident Evil 2 é um jogo de sobrevivência feito pela Capcom onde você controla Leon ou Claire e tenta escapar de Raccoon City que está infestada de mortos vivos. Aliás, é um remake do jogo original lançado em 1998.

Gameplay:

Em Resident Evil 2 Remake você escolhe o seu personagem e devido a alguns acontecimentos você acaba parando na delegacia de polícia de uma pequena cidade, você então precisa se virar para descobrir o que está acontecendo, com poucas balas, uma arma muito básica e uma mochilinha pequena você começa a sua jornada.

Independente de quem escolher você pode ter certeza que algo não vai mudar nesse game, o ambiente assustador é igual tanto para Claire como para Leon, uma coisa que me chama a atenção é o fato do ""gore"" ser bem visível, se você atira na perna do zumbi ou no braço, dependendo do dano a parte atingida pode cair ou até ficar deformada, as marcas de tiros, facadas, explosões são bem notáveis. São inúmeros detalhes que deixam o jogo mais bonito, seja pelo gráfico fantástico ou mesmo pela modo de jogar mais lento, mais realista, aliás, realista no sentido de que você se sente mais humano em Resident Evil 2 em comparação aos últimos títulos lançados, me refiro a Resident Evil 6, 5 e 4. É muito mais fácil ser morto nesse game, qualquer morto vivo pode te matar sem problemas se você não prestar atenção em pequenos detalhes como ter munição suficiente, ou até mesmo armas secundárias no inventário como uma faca, granada, flash, etc.

O jogo é cheio de quebra-cabeças, você vai precisar ir e vir em vários lugares, pegar chaves, achar melhorias para suas armas, abrir cofres com combinações escondidas pelo mapa para poder ganhar mais espaço no seu inventário e claro que você faz tudo isso tendo que levar em consideração diversos monstros pelo mapa incluindo o famoso ""Mr.X"". Agora, se você me perguntar que infernos é Mr.X? Meu amigo provavelmente você não está ligado nos diversos memes feitos com o ""garotão"" pela internet, enfim, Mr.X é um Tyrant ou seja, ele foi criado para perseguir sobreviventes e eliminar evidências, ou seja, VOCÊ.
A sensação de correr pelos vários corredores sendo perseguido por um brutamonte que não morre nem a pau é agoniante, a música que começa a tocar no momento em que você encontra ele é muito bem feita e deixa uma sensação muito ruim no jogador, os passos do Tyrant podem ser ouvidos de longe e te ajudam a evitá-lo, outra coisa que achei fantástica e amedrontadora ao mesmo tempo é o fato de você poder ouvir quando o Tyrant abre portas em outra sala perto de você, o jogador sabe que está sendo perseguido, então é preciso levar em conta inúmeros fatores enquanto se tem um objetivo em mente.

Digamos que você precisa de uma chave para abrir a porta B, mas para conseguir a tal chave você precisa achar uma ferramenta para destruir as correntes da porta A que fica em um quarto do outro lado do mapa para só então ter a chave em suas mãos e fazer todo o caminho até a porta B novamente, isso é claro contando com monstros, jumpscares (sustos), gerenciamento de inventário (Se sua mochila ficar cheia de itens você se ferrou) e um Tyrant enorme correndo atrás, não é mole não meu consagrado.

Quando você termina o game com Leon por exemplo, é liberado um modo chamado de ""Second Run"" algo como um New Game +, é a mesma campanha por assim dizer só que vista aos olhos do personagem no qual você não jogou da primeira vez, o jogador terminou o game na primeira vez com Leon por exemploe agora vai poder jogar com a Claire nesse modo, lá as coisas serão um pouco diferentes, bosses mudam e os mesmos caminhos são percorridos com outros objetivos em mente, alguns puzzles (quebra cabeças) são resolvidos de outra forma e o game não muda completamente, mas fica parecendo um lado diferente da história.

Existem diversas outras ""mini"" histórias para você jogar quando termina a campanha principal, a mais divertida na minha opinião é chamada de ""O quarto sobrevivente"" onde você é um soldado da umbrella que ficou para trás em Raccoon City e precisa chegar até o seu resgate. Algumas dessas mini histórias são algo como ""E se..."" Ou seja, personagens que já morreram na campanha principal poderiam ter sobrevivido, ou seja, é você que tentará mudar isso, são modos de jogo mais simples e mais difíceis se me permite dizer, em um dos modos é possível ver mortos vivos usando mochilas, quando você abate algum deles eles derrubam itens importantes como munição, armas, etc.



*O cenário é bem sombrio e bota medo, ou seja, a proposta do game foi muito bem feita.
* A trilha sonora é muito bem elaborada e ajuda muito no clima aterrorizante do jogo.
* Qualquer erro te leva a morte
* Você precisa gerenciar muito bem o seu inventário para poupar tempo e evitar dores de cabeça.
* Nunca tive tanto medo de um cara enorme com chapéu na minha vida.
* O game possuí vários modos diferentes (reimaginações e mini histórias diferentes) para você rejogar.
* Os gráficos são de tirar o fôlego, não gosto de falar de gráficos, nem detalhar tal coisa, não considero gráficos algo importante para recomendar ou não um game, porém, é importante dizer que Resident Evil 2 remake fez um trabalho fantástico quanto a esse aspecto.
* Sinceramente não encontrei nenhum bug, ou pelo menos que eu pudesse notar.



* O jogo pode não rodar extremamente bem, pode haver algumas pequenas quedas de frames dependendo do seu sistema operacional, eu praticamente não tive problemas com isso, mas em alguns momentos era possível notar a mudança de frames.



Recomendo sem problema algum, a proposta do game é de um mundo sombrio e escuro, talvez até claustrofóbico em alguns momentos, se a intenção era assustar o jogador e fazer com que ele ficasse sobre pressão, os desenvolvedores conseguiram e muito bem. Mesmo que você já tenha jogado o game original eu posso afirmar que vale a pena, jogue novamente porque com certeza você vai amar, acredito que até aqui Resident Evil 2 é o trabalho mais bonito feito pela Capcom recentemente.",Recommended," September 13, 2019"
374,Aliendude,"
Was waiting for years for a remaster or just a simple release of RE2&3 on Steam but instead they made what will probably be their best RE game.",Recommended," January 26, 2019"
375,Tomi_Spectre.DR,"
I played this when it first came out and was scared playing it. Now I get horny playing with the girl in the cow girl getup. Much improvement buy!",Recommended," December 2, 2019"
376,Wolfi,"
Truely a Masterpeice of Survival Horror!, As a Resident evil veteran myself and HUGE fan of the original. i was not only challenged but increasingly challenged down to the last second of the game. Not only was it alot longer then the classic could ever be, but with the original soundtrack swap and the semi familiar area's it felt just like the classic but better, much better. Way Harder, way scarier and way more intense then the original could ever hope to be. And I only completed Leon's Story so far.. Cant wait too play the rest (I Wasnt sure about the huge changes too the entire RPD/Labs/Streets area before it was released, but i changed that tune real quick! ..it was....Perfect.)

10/10
Capcom, do Re3 and the Outbreak Series next!..",Recommended," January 26, 2019"
377,Nasser ²,"
My favorite surival horror game right now! The game is filled with so much tension, especially when you meet Mr X in a hallway with a Licker. Beautiful graphics, no bugs that I've come accross, great puzzles, lots of quality backtracking. Now I'm on my 2nd run with Claire, plus there are a few more survivors you can play as. There's absolutely no reason why you shouldn't buy this game.
10/10 Thump thump thump - oh ♥♥♥♥.",Recommended," February 3, 2019"
378,Falacu,"
This reinvigorated my hope for the Resident Evil franchise.

Incredible remake of a classic. The original RE2 stood as my favourite horror game so I was curious to see how they'd pull off a modern day remake, and it's about everything I could hope for.

There's endless nods and brilliant recreations of scenes from the original, with a really nice blend of new stuff that slides into the game seamlessly. Hardcore especially is a brilliant survival horror experience and one I won't soon forget. I can't recommend this enough.",Recommended," February 7, 2019"
379,Murky,"
Very high quality remake the details and graphics also the gameplay more better than before in my opinion

Remake 10/10
Graphics & Details 11/10
Story 9/10
Gameplay 10/10 (one of few games i have restarted for second run and it reward you)

A game must play even if you play classic one, deserve GOTY",Recommended," September 24, 2019"
380,rayculz,"
THIS is how a remake is supposed to be done! Good work Capcom!",Recommended," February 3, 2019"
381,Gasmask Man,"
Needs a sequel.",Recommended," November 28, 2019"
